filename,content
Splitting_Text_in_Excel.md,"Splitting Text in Excel
-------------------------------------------------------------------------------
[](https://youtu.be/fQeADnqiOAg)
You’ll learn how to transform a single-column data set into multiple, organized columns based on specific delimiters using the “Text to Columns” feature.
Here are links used in the video:
 US Senate Legislation - Votes
Previous
Data Transformation in Excel
Next
Data Aggregation in Excel"
Data_Preparation_in_the_Shell.md,"Data Preparation in the Shell
-------------------------------------------------------------------------------------------------
[](https://youtu.be/XEdy4WK70vU)
You’ll learn how to use UNIX tools to process and clean data, covering:
 curl (or wget) to fetch data from websites.
 gzip (or xz) to compress and decompress files.
 wc to count lines, words, and characters in text.
 head and tail to get the start and end of files.
 cut to extract specific columns from text.
 uniq to de-duplicate lines.
 sort to sort lines.
 grep to filter lines containing specific text.
 sed to search and replace text.
 awk for more complex text processing.
Here are the links used in the video:
 Data preparation in the shell - Notebook
 Data Science at the Command Line
Previous
Data Aggregation in Excel
Next
Data Preparation in the Editor"
Visualizing_Animated_Data_with_Flourish.md,"Visualizing Animated Data with Flourish
-------------------------------------------------------------------------------------------------------------------------------
[](https://youtu.be/JrnIu5Bm8i4)
Previous
Visualizing Animated Data with PowerPoint
Next
Visualizing Network Data with Kumu"
Vision_Models.md,"404 - Not found
==============="
Notebooks__Google_Colab.md,"Notebooks: Google Colab
------------------------------------------------------------
Google Colab is a free, cloud-based Jupyter notebook environment that’s become indispensable for data scientists and ML practitioners. It’s particularly valuable because it provides free access to GPUs and TPUs, and for easy sharing of code and execution results.
While Colab is excellent for prototyping and learning, its free tier has limitations - notebooks time out after 12 hours, and GPU access can be inconsistent.
Learn how to mount Google Drive for persistent storage, manage dependencies with !pip install commands, as these are common pain points when getting started.
[](https://youtu.be/inN8seMm7UI)
 Google Colab features you may have missed
 How to mount Google Drive to Google Colab
 How to take advantage of GPUs and TPUs for your ML project
Previous
Static hosting: GitHub Pages
Next
Serverless hosting: Vercel"
Nominatim_API_with_Python.md,"Nominatim API with Python
-------------------------------------------------------------------------------------
[](https://youtu.be/f0PZ-pphAXE)
You’ll learn how to get the latitude and longitude of any city from the Nominatim API.
 Introduction to Nominatim: Understand how Nominatim, from OpenStreetMap, works similarly to Google Maps for geocoding.
 Installation and Import: Learn to install and import geopy and nominatim.
 Using the Locator: Create a locator object using Nominatim and set up a user agent.
 Geocoding an Address: Use locator.geocode to input an address (e.g., Eiffel Tower) and fetch geocoded data.
 Extracting Data: Access detailed information like latitude, longitude, bounding box, and accurate address from the JSON response.
 Classifying Locations: Identify the type of place (e.g., tourism, university) using the response data.
 Practical Example: Geocode “IIT Madras” and retrieve its full address, type (university), and other relevant information.
Here are links and references:
 Geocoding using Nominatim - Notebook
 Learn about the geocoders module in the geopy package
 Learn about the nominatim package
 If you get a HTTP Error 403 from Nominatim, use your email ID or your name instead of “myGeocoder” in Nominatim(useragent=""myGeocoder"")
Previous
Scraping IMDb with JavaScript
Next
Wikipedia Data with Python"
Data_Storytelling.md,"Data Storytelling
=============================================================
[](https://youtu.be/aF93i6zVVQg)
Previous
RAWgraphs
Next
Narratives with LLMs"
Wikipedia_Data_with_Python.md,"Wikipedia Data with Python
----------------------------------------------------------------------------------------
[](https://youtu.be/b6puvm-QEY0)
You’ll learn how to scrape data from Wikipedia using the wikipedia Python library, covering:
 Installing and Importing: Use pip install to get the Wikipedia library and import it with import wikipedia as wk.
 Keyword Search: Use the search function to find Wikipedia pages containing a specific keyword, limiting results with the results argument.
 Fetching Summaries: Use the summary function to get a concise summary of a Wikipedia page, limiting sentences with the sentences argument.
 Retrieving Full Pages: Use the page function to obtain the full content of a Wikipedia page, including sections and references.
 Accessing URLs: Retrieve the URL of a Wikipedia page using the url attribute of the page object.
 Extracting References: Use the references attribute to get all reference links from a Wikipedia page.
 Fetching Images: Access all images on a Wikipedia page via the images attribute, which returns a list of image URLs.
 Extracting Tables: Use the pandas.read\html function to extract tables from the HTML content of a Wikipedia page, being mindful of table indices.
Here are links and references:
 Wikipedia Library - Notebook
 Learn about the wikipedia package
NOTE: Wikipedia is constantly edited. The page may be different now from when the video was recorded. Handle accordingly.
Previous
Nominatim API with Python
Next
Scraping PDFs with Tabula"
Web_Framework__FastAPI.md,"Web Framework: FastAPI
------------------------------------------------------------
FastAPI is a modern Python web framework for building APIs with automatic interactive documentation. It’s fast, easy to use, and designed for building production-ready REST APIs.
Here’s a minimal FastAPI app, app.py:
/// script
requires-python = "">=3.11""
dependencies = [
""fastapi"",
""uvicorn"",
]
///
from fastapi import FastAPI
app = FastAPI()
@app.get(""/"")
async def root():
    return {""message"": ""Hello!""}
if name == ""main"":
    import uvicorn
    uvicorn.run(app, host=""0.0.0.0"", port=8000)Copy to clipboardErrorCopied
Run this with uv run app.py.
1. Handle errors by raising HTTPException
   
   from fastapi import HTTPException
   async def getitem(itemid: int):
       if not validitem(itemid):
           raise HTTPException(
               statuscode=404,
               detail=f""Item {itemid} not found""
           )Copy to clipboardErrorCopied
   
2. Use middleware for logging
   
   from fastapi import Request
   import time
   @app.middleware(""http"")
   async def addtiming(request: Request, callnext):
       start = time.time()
       response = await callnext(request)
       response.headers[""X-Process-Time""] = str(time.time() - start)
       return responseCopy to clipboardErrorCopied
   
Tools:
 FastAPI CLI: Project scaffolding
 Pydantic: Data validation
 SQLModel: SQL databases
 FastAPI Users: Authentication
Watch this FastAPI Course for Beginners (64 min):
[](https://youtu.be/tLKKmouUams)
Previous
REST APIs
Next
Authentication: Google Auth"
LLM_Text_Extraction.md,"LLM Text Extraction
-------------------------------------------------------------------
JSON is one of the most widely used formats in the world for applications to exchange data.
[](https://youtu.be/72514uGffPE)
This video explains how to use LLMs to extract structure from unstructured data, covering:
 LLM for Data Extraction: Use OpenAI’s API to extract structured information from unstructured data like addresses.
 JSON Schema: Define a JSON schema to ensure consistent and structured output from the LLM.
 Prompt Engineering: Craft effective prompts to guide the LLM’s response and improve accuracy.
 Data Cleaning: Use string functions and OpenAI’s API to clean and standardize data.
 Data Analysis: Analyze extracted data using Pandas to gain insights.
 LLM Limitations: Understand the limitations of LLMs, including potential errors and inconsistencies in output.
 Production Use Cases: Explore real-world applications of LLMs for data extraction, such as customer service email analysis.
Here are the links used in the video:
 Jupyter Notebook
 JSON Schema
 Function calling
Structured Outputs is a feature that ensures the model will always generate responses that adhere to your supplied
JSON Schema, so you don’t need to worry about the model omitting a required key,
or hallucinating an invalid enum value.
curl https://api.openai.com/v1/chat/completions \
-H ""Authorization: Bearer $OPENAIAPIKEY"" \
-H ""Content-Type: application/json"" \
-d '{
  ""model"": ""gpt-4o-2024-08-06"",
  ""messages"": [
    { ""role"": ""system"", ""content"": ""You are a helpful math tutor. Guide the user through the solution step by step."" },
    { ""role"": ""user"", ""content"": ""how can I solve 8x + 7 = -23"" }
  ],
  ""responseformat"": {
    ""type"": ""jsonschema"",
    ""jsonschema"": {
      ""name"": ""mathresponse"",
      ""strict"": true
      ""schema"": {
        ""type"": ""object"",
        ""properties"": {
          ""steps"": {
            ""type"": ""array"",
            ""items"": {
              ""type"": ""object"",
              ""properties"": { ""explanation"": { ""type"": ""string"" }, ""output"": { ""type"": ""string"" } },
              ""required"": [""explanation"", ""output""],
              ""additionalProperties"": false
            }
          },
          ""finalanswer"": { ""type"": ""string"" }
        },
        ""required"": [""steps"", ""finalanswer""],
        ""additionalProperties"": false
      }
    }
  }
}'Copy to clipboardErrorCopied
Here’s what the responseformat tells OpenAI. The items marked ⚠️ are OpenAI specific requirements for the JSON schema.
 ""type"": ""jsonschema"": We want you to generate a JSON response that follows this schema.
 ""jsonschema"":: We’re going to give you a schema.
  + ""name"": ""mathresponse"": The schema is called mathresponse. (We can call it anything.)
  + ""strict"": true: Follow the schema exactly.
  + ""schema"":: Now, here’s the actual JSON schema.
    - ""type"": ""object"": Return an object. ⚠️ The root object must be an object.
    - ""properties"":: The object has these properties:
       ""steps"":: There’s a steps property.
        + ""type"": ""array"": It’s an array.
        + ""items"":: Each item in the array…
          - ""type"": ""object"": … is an object.
          - ""properties"":: The object has these properties:
             ""explanation"":: There’s an explanation property.
              + ""type"": ""string"": … which is a string.
             ""output"":: There’s an output property.
              + ""type"": ""string"": … which is a string, too.
          - ""required"": [""explanation"", ""output""]: ⚠️ You must add ""required"": [...] and include all fields int he object.
          - ""additionalProperties"": false: ⚠️ OpenAI requires every object to have ""additionalProperties"": false.
       ""finalanswer"":: There’s a finalanswer property.
        + ""type"": ""string"": … which is a string.
    - ""required"": [""steps"", ""finalanswer""]: ⚠️ You must add ""required"": [...] and include all fields in the object.
    - ""additionalProperties"": false: ⚠️ OpenAI requires every object to have ""additionalProperties"": false.
Previous
LLM Sentiment Analysis
Next
Base 64 Encoding"
